age_group,treatment,score
C,1,93
C,2,92
C,4,98
C,2,71
C,4,99
C,5,78
C,3,92
C,2,77
C,1,86
C,5,99
C,5,69
C,4,94
C,1,98
C,3,92
C,2,100
C,3,98
C,4,93
C,4,88
C,4,98
C,5,88
C,5,99
C,3,100
C,1,87
C,3,99
C,2,97
C,1,97
C,1,82
C,3,99
C,3,82
C,4,99
C,4,94
C,2,99
C,3,100
C,3,91
C,1,98
C,2,100
C,1,98
C,5,77
C,3,97
C,5,99
C,2,96
C,2,96
C,5,99
C,4,99
C,5,88
C,5,93
C,2,98
C,1,90
C,4,83
C,1,97
A,1,98
A,2,97
A,2,99
A,3,96
A,3,88
A,5,99
A,5,93
A,1,95
A,3,88
A,5,97
A,5,95
A,4,93
A,3,100
A,4,98
A,2,98
A,3,97
A,3,99
A,1,91
A,4,79
A,3,95
A,2,91
A,4,72
A,1,94
A,3,99
A,2,93
A,4,98
A,1,98
A,5,99
A,5,99
A,5,89
A,3,95
A,2,93
A,2,98
A,4,97
A,4,98
A,4,96
A,1,88
A,3,95
A,2,93
A,1,97
A,2,98
A,5,97
A,4,67
A,5,99
A,1,97
A,1,96
A,1,96
A,4,98
A,2,94
A,5,70
B,4,98
B,2,93
B,2,94
B,1,95
B,1,87
B,4,97
B,1,87
B,3,82
B,3,98
B,4,82
B,2,91
B,4,93
B,5,84
B,3,97
B,3,91
B,5,97
B,2,94
B,4,100
B,2,91
B,3,98
B,1,92
B,1,87
B,2,97
B,3,80
B,2,99
B,5,92
B,5,97
B,4,98
B,3,97
B,5,100
B,2,96
B,2,100
B,5,96
B,1,100
B,5,98
B,1,95
B,5,87
B,4,100
B,5,96
B,4,96
B,1,97
B,2,99
B,1,94
B,3,97
B,4,89
B,4,93
B,3,98
B,3,82
B,1,98
B,5,99
